Team,Round,Goals_Conceded
Newcastle Utd,Matchweek 27,2
Newcastle Utd,Matchweek 3,1
Newcastle Utd,Matchweek 30,1
Newcastle Utd,Matchweek 32,1
Newcastle Utd,Matchweek 33,4
Newcastle Utd,Matchweek 35,1
Newcastle Utd,Matchweek 37,1
Newcastle Utd,Matchweek 38,1
Newcastle Utd,Matchweek 4,1
Newcastle Utd,Matchweek 5,3
Newcastle Utd,Matchweek 6,1
Newcastle Utd,Matchweek 8,1
Newcastle Utd,Matchweek 9,2
Nott'ham Forest,Matchweek 1,1
Nott'ham Forest,Matchweek 11,3
Nott'ham Forest,Matchweek 12,3
Nott'ham Forest,Matchweek 14,3
Nott'ham Forest,Matchweek 15,2
Nott'ham Forest,Matchweek 16,1
Nott'ham Forest,Matchweek 21,1
Nott'ham Forest,Matchweek 22,2
Nott'ham Forest,Matchweek 23,5
Nott'ham Forest,Matchweek 25,2
Nott'ham Forest,Matchweek 26,4
Nott'ham Forest,Matchweek 29,2
Nott'ham Forest,Matchweek 3,1
Nott'ham Forest,Matchweek 31,2
Nott'ham Forest,Matchweek 32,1
Nott'ham Forest,Matchweek 33,1
Nott'ham Forest,Matchweek 34,2
Nott'ham Forest,Matchweek 35,1
Nott'ham Forest,Matchweek 36,2
Nott'ham Forest,Matchweek 37,1
Nott'ham Forest,Matchweek 38,1
Nott'ham Forest,Matchweek 5,2
Nott'ham Forest,Matchweek 6,1
Nott'ham Forest,Matchweek 7,1
Nott'ham Forest,Matchweek 9,1
Southampton,Matchweek 1,1
Southampton,Matchweek 11,2
Southampton,Matchweek 12,3
Southampton,Matchweek 13,1
Southampton,Matchweek 14,5
Southampton,Matchweek 15,1
Southampton,Matchweek 16,5
Southampton,Matchweek 18,1
Southampton,Matchweek 19,2
Southampton,Matchweek 2,1
Southampton,Matchweek 20,5
Southampton,Matchweek 21,3
Southampton,Matchweek 22,3
Southampton,Matchweek 23,3
Southampton,Matchweek 24,1
Southampton,Matchweek 25,3
Southampton,Matchweek 26,4
Southampton,Matchweek 27,4
Southampton,Matchweek 28,3
Southampton,Matchweek 29,2
Southampton,Matchweek 3,3
Southampton,Matchweek 30,1
Southampton,Matchweek 31,3
Southampton,Matchweek 32,3
Southampton,Matchweek 33,1
Southampton,Matchweek 34,2
Southampton,Matchweek 35,2
Southampton,Matchweek 37,2
Southampton,Matchweek 38,2
Southampton,Matchweek 4,3
Southampton,Matchweek 5,1
Southampton,Matchweek 6,3
Southampton,Matchweek 7,3
Southampton,Matchweek 8,3
Southampton,Matchweek 9,1
Tottenham,Matchweek 1,1
Tottenham,Matchweek 10,1
Tottenham,Matchweek 11,2
Tottenham,Matchweek 13,1
Tottenham,Matchweek 14,1
Tottenham,Matchweek 15,4
Tottenham,Matchweek 17,6
Tottenham,Matchweek 18,1
Tottenham,Matchweek 19,2
Tottenham,Matchweek 20,2
Tottenham,Matchweek 21,2
Tottenham,Matchweek 22,3
Tottenham,Matchweek 23,2
Tottenham,Matchweek 26,1
Tottenham,Matchweek 27,1
Tottenham,Matchweek 28,2
Tottenham,Matchweek 29,2
Tottenham,Matchweek 3,2
Tottenham,Matchweek 30,1
Tottenham,Matchweek 31,1
Tottenham,Matchweek 32,4
Tottenham,Matchweek 33,2
Tottenham,Matchweek 34,5
Tottenham,Matchweek 35,1
Tottenham,Matchweek 36,2
Tottenham,Matchweek 37,2
Tottenham,Matchweek 38,4
Tottenham,Matchweek 4,1
Tottenham,Matchweek 5,1
Tottenham,Matchweek 7,3
Tottenham,Matchweek 8,1
Tottenham,Matchweek 9,1
West Ham,Matchweek 1,2
West Ham,Matchweek 10,3
West Ham,Matchweek 13,5
West Ham,Matchweek 14,3
West Ham,Matchweek 15,1
West Ham,Matchweek 16,1
West Ham,Matchweek 17,1
West Ham,Matchweek 19,5
West Ham,Matchweek 20,4
West Ham,Matchweek 21,2
West Ham,Matchweek 22,2
West Ham,Matchweek 23,1
West Ham,Matchweek 24,2
West Ham,Matchweek 25,1
West Ham,Matchweek 28,1
West Ham,Matchweek 29,1
West Ham,Matchweek 3,3
West Ham,Matchweek 30,1
West Ham,Matchweek 31,2
West Ham,Matchweek 32,2
West Ham,Matchweek 33,1
West Ham,Matchweek 34,3
West Ham,Matchweek 35,1
West Ham,Matchweek 37,2
West Ham,Matchweek 38,1
West Ham,Matchweek 4,1
West Ham,Matchweek 5,3
West Ham,Matchweek 6,1
West Ham,Matchweek 7,1
West Ham,Matchweek 8,4
West Ham,Matchweek 9,1
Wolves,Matchweek 1,2
Wolves,Matchweek 10,2
Wolves,Matchweek 12,1
Wolves,Matchweek 13,4
Wolves,Matchweek 14,4
Wolves,Matchweek 15,2
Wolves,Matchweek 16,2
Wolves,Matchweek 19,2
Wolves,Matchweek 2,6
Wolves,Matchweek 20,3
Wolves,Matchweek 21,3
Wolves,Matchweek 22,3
Wolves,Matchweek 23,1
Wolves,Matchweek 25,2
Wolves,Matchweek 27,2
Wolves,Matchweek 28,1
Wolves,Matchweek 29,1
Wolves,Matchweek 3,1
Wolves,Matchweek 31,1
Wolves,Matchweek 32,2
Wolves,Matchweek 35,1
Wolves,Matchweek 36,2
Wolves,Matchweek 37,4
Wolves,Matchweek 38,1
Wolves,Matchweek 4,2
Wolves,Matchweek 5,3
Wolves,Matchweek 6,2
Wolves,Matchweek 7,5
Wolves,Matchweek 8,2
Wolves,Matchweek 9,2
