food,Caloric Value,Fat,Saturated Fats,Monounsaturated Fats,Polyunsaturated Fats,Carbohydrates,Sugars,Protein,Dietary Fiber,Cholesterol,Sodium,Water,Vitamin A,Vitamin B1,Vitamin B11,Vitamin B12,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin C,Vitamin D,Vitamin E,Vitamin K,Calcium,Copper,Iron,Magnesium,Manganese,Phosphorus,Potassium,Selenium,Zinc,Nutrition Density,Total_grams,Fat_per_100g,Carbohydrates_per_100g,Sugars_per_100g,Protein_per_100g,Dietary Fiber_per_100g,Sodium_per_100g,Water_per_100g,Calories_100g_494
tomato sauce,59,0.7,0.1,0.1,0.3,13.0,8.7,2.9,3.7,0.0,0.083,223.6,0.0,0.029,0.032,0.002,0.0,0.2,2.4,0.8,0.2,17.2,0.0,3.5,0.083,34.3,0.3,2.4,36.8,0.3,66.2,727.7,0.09,20.864,252.683,0.2770269468068687,5.144786154984704,3.443049196028225,1.1476830653427417,1.4642852902648775,0.03284748083567157,88.49032186573692,27.663119402571603
barbecue sauce kraft,28,0.053,0.013,0.095,0.005,6.5,5.2,0.1,0.032,0.0,0.2,8.7,0.0,0.069,0.0,0.0,0.001,0.073,0.09,0.002,0.031,0.0,0.1,0.0,7.5,0.011,0.1,2.4,0.093,3.0,39.5,0.0,0.006,14.388,20.784999999999997,0.25499158046668274,31.27255232138562,25.018041857108496,0.4811161895597788,0.1539571806591292,0.9622323791195576,41.85710849170075,129.30959826798176
cranberry sauce sweetened,418,0.4,0.056,0.057,0.2,107.8,105.0,0.6,2.8,0.0,0.076,168.0,0.0,0.0,0.033,0.0,0.093,0.3,0.0,0.029,5.5,0.0,2.3,0.075,11.1,0.097,0.6,8.3,0.2,16.6,72.0,0.025,0.1,128.8,384.676,0.10398361218272002,28.02358348324304,27.295698197964,0.15597541827408,0.72788528527904,0.019756886314716803,43.673117116742404,113.65408811571297
coleslaw dressing,62,5.3,0.8,1.4,2.9,3.8,3.2,0.1,0.024,4.2,0.1,6.4,0.032,0.021,0.055,0.079,0.078,0.0,0.049,0.017,0.0,0.057,0.5,0.01,2.2,0.01,0.01,0.3,0.057,4.2,1.4,0.091,0.062,11.62,18.924,28.006763897696047,20.080321285140563,16.909744240118368,0.528429507503699,0.12682308180088775,0.528429507503699,33.819488480236735,334.4958782498415
onion gravy dry,77,0.7,0.4,0.2,0.024,16.2,0.0,2.2,1.4,0.5,1.0,1.0,0.0,0.017,0.061,0.082,0.046,0.9,0.026,0.068,1.7,0.0,0.0,0.0,67.2,0.026,0.2,8.2,0.035,48.7,62.9,0.091,0.2,89.6,22.499999999999996,3.111111111111111,72.00000000000001,0.0,9.77777777777778,6.222222222222222,4.4444444444444455,4.4444444444444455,355.1111111111112
corn syrup light,62,0.09,0.0,0.0,0.0,16.9,16.9,0.0,0.0,0.0,0.065,5.0,0.0,0.047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9,0.0,0.0,0.2,0.0,0.0,0.2,0.056,0.015,19.806,38.955,0.23103581055063535,43.38339109228597,43.38339109228597,0.0,0.0,0.1668591965087922,12.835322808368632,175.6128866640996
bacon tomato dressing,49,5.3,0.8,1.3,2.9,0.3,0.3,0.3,0.04,0.6,0.1,8.8,0.064,0.083,0.0,0.035,0.091,0.1,0.0,0.033,1.3,0.0,0.6,0.031,0.6,0.013,0.057,0.9,0.0,3.8,16.2,0.009,0.045,7.942,15.14,35.006605019815055,1.9815059445178336,1.9815059445178336,1.9815059445178336,0.26420079260237783,0.6605019815059445,58.12417437252312,330.9114927344782
pancake syrup,53,0.075,0.025,0.094,0.042,13.9,8.4,0.0,0.0,0.0,0.064,6.0,0.0,0.024,0.0,0.0,0.037,0.036,0.075,0.0,0.0,0.0,0.0,0.0,1.0,0.024,0.038,0.4,0.016,2.0,1.2,0.079,0.097,15.031,28.439,0.2637223531066493,48.87654277576567,29.536903547944725,0.0,0.0,0.22504307465100742,21.097788248531945,197.87967228102252
balsamic vinegar,14,0.0,0.0,0.0,0.0,2.7,2.4,0.041,0.0,0.0,0.071,12.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3,0.074,0.1,1.9,0.046,3.0,17.9,0.0,0.033,7.129,17.412,0.0,15.506547208821505,13.783597518952448,0.23546979094877096,0.0,0.4077647599356765,70.0666207213416,62.96806799908111
ranch dressing reduced fat,29,1.9,0.2,0.4,0.6,3.2,0.6,0.2,0.2,2.4,0.2,9.3,0.022,0.049,0.081,0.0,0.098,0.044,0.1,0.018,0.051,0.0,0.2,0.012,6.0,0.051,0.1,0.9,0.098,29.0,19.8,0.082,0.035,11.727,15.600000000000001,12.179487179487177,20.51282051282051,3.846153846153846,1.282051282051282,1.282051282051282,1.282051282051282,59.61538461538461,196.79487179487177
barbecue sauce mcdonalds,46,0.3,0.09,0.069,0.1,10.3,9.6,0.4,0.4,0.0,0.3,16.2,0.0,0.032,0.076,0.0,0.025,0.2,0.071,0.088,0.0,0.0,0.3,0.0,3.1,0.008,0.1,3.6,0.056,8.4,55.2,0.0,0.097,14.6,37.5,0.8,27.46666666666667,25.6,1.0666666666666669,1.0666666666666669,0.8,43.2,121.33333333333334
